technic,basis,file1,file2,global time,cpu time,result
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qpeinexact_nativegates_ibm_qiskit_opt0_64.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qpeinexact_nativegates_ibm_qiskit_opt0_64.qasm.opt.qasm,600.0049388408661,12.639794,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-noancilla_nativegates_ibm_qiskit_opt0_6.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-noancilla_nativegates_ibm_qiskit_opt0_6.qasm.opt.qasm,600.0423836708069,0.010931,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-noancilla_nativegates_ibm_qiskit_opt0_6.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-noancilla_nativegates_ibm_qiskit_opt0_6.qasm.opt.qasm,600.0381441116333,0.017066,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-noancilla_nativegates_ibm_qiskit_opt0_6.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-noancilla_nativegates_ibm_qiskit_opt0_6.qasm.opt.qasm,600.0329132080078,0.2020259999999999,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-noancilla_nativegates_ibm_qiskit_opt0_7.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-noancilla_nativegates_ibm_qiskit_opt0_7.qasm.opt.qasm,599.9618620872498,0.0210839999999999,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-noancilla_nativegates_ibm_qiskit_opt0_7.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-noancilla_nativegates_ibm_qiskit_opt0_7.qasm.opt.qasm,599.9658849239349,0.0322679999999999,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-noancilla_nativegates_ibm_qiskit_opt0_7.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-noancilla_nativegates_ibm_qiskit_opt0_7.qasm.opt.qasm,600.0249710083008,0.5084069999999999,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-noancilla_nativegates_ibm_qiskit_opt0_8.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-noancilla_nativegates_ibm_qiskit_opt0_8.qasm.opt.qasm,599.9771258831024,0.044296,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-noancilla_nativegates_ibm_qiskit_opt0_8.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-noancilla_nativegates_ibm_qiskit_opt0_8.qasm.opt.qasm,600.0508561134338,0.063326,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-noancilla_nativegates_ibm_qiskit_opt0_8.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-noancilla_nativegates_ibm_qiskit_opt0_8.qasm.opt.qasm,600.0373179912567,1.177982,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-v-chain_nativegates_ibm_qiskit_opt0_5.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-v-chain_nativegates_ibm_qiskit_opt0_5.qasm.opt.qasm,8.035181045532227,0.0033519999999999,True
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-v-chain_nativegates_ibm_qiskit_opt0_5.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-v-chain_nativegates_ibm_qiskit_opt0_5.qasm.opt.qasm,600.0515718460083,0.0045189999999999,TIMEOUT
